ticket_id,customer_id,ticket_date,issue_category,priority,resolution_hours,ticket_status,customer_satisfaction
T00429,C00429,2025-05-07,Account,Low,4.3,Closed,5
T00430,C00430,2025-06-22,Performance,Medium,15.5,Resolved,4
T00431,C00431,2025-07-13,Storage,High,17.0,Resolved,3
T00432,C00432,2025-01-18,Technical,Medium,12.1,Resolved,4
T00433,C00433,2025-02-25,Billing,High,19.9,Resolved,3
T00434,C00434,2025-03-17,Security,Urgent,32.4,Escalated,2
T00435,C00435,2025-04-09,Feature Request,Low,7.2,Closed,5
T00436,C00436,2025-05-20,Performance,High,23.7,Resolved,3
T00437,C00437,2025-06-07,Account,Medium,9.8,Resolved,4
T00438,C00438,2025-07-27,Technical,High,20.6,Resolved,3
T00439,C00439,2025-01-31,Storage,Low,5.0,Closed,5
T00440,C00440,2025-02-12,Billing,Medium,11.3,Resolved,4
T00441,C00441,2025-03-30,Performance,High,24.5,Resolved,3
T00442,C00442,2025-04-23,Security,High,18.7,Resolved,3
T00443,C00443,2025-05-15,Technical,Urgent,30.1,Escalated,2
T00444,C00444,2025-06-13,Account,Low,4.5,Closed,5
T00445,C00445,2025-07-05,Feature Request,Low,6.6,Closed,5
T00446,C00446,2025-01-22,Storage,Medium,10.7,Resolved,4
T00447,C00447,2025-02-18,Billing,High,17.6,Resolved,3
T00448,C00448,2025-03-09,Technical,Medium,13.8,Resolved,4
T00449,C00449,2025-04-28,Performance,High,21.9,Resolved,3
T00450,C00450,2025-05-06,Account,Low,3.8,Closed,5
T00451,C00451,2025-06-20,Security,High,19.4,Resolved,3
T00452,C00452,2025-07-11,Storage,Urgent,33.7,Escalated,2
T00453,C00453,2025-01-15,Technical,Medium,12.5,Resolved,4
T00454,C00454,2025-02-28,Billing,High,18.8,Resolved,3
T00455,C00455,2025-03-19,Feature Request,Low,7.1,Closed,5
T00456,C00456,2025-04-14,Performance,Medium,14.6,Resolved,4
T00457,C00457,2025-05-27,Account,High,17.3,Resolved,3
T00458,C00458,2025-06-08,Storage,Low,5.2,Closed,5
T00459,C00459,2025-07-22,Technical,High,22.0,Resolved,3
T00460,C00460,2025-01-26,Billing,Urgent,31.0,Escalated,2
T00461,C00461,2025-02-07,Security,Medium,13.4,Resolved,4
T00462,C00462,2025-03-24,Performance,High,23.4,Resolved,3
T00463,C00463,2025-04-18,Account,Low,4.2,Closed,5
T00464,C00464,2025-05-09,Technical,Medium,11.9,Resolved,4
T00465,C00465,2025-06-26,Storage,High,16.8,Resolved,3
T00466,C00466,2025-07-15,Billing,Low,4.6,Closed,5
T00467,C00467,2025-01-11,Feature Request,Low,6.8,Closed,5
T00468,C00468,2025-02-23,Performance,High,20.9,Resolved,3
T00469,C00469,2025-03-12,Account,Medium,10.5,Resolved,4
T00470,C00470,2025-04-30,Security,Urgent,34.3,Escalated,2
T00471,C00471,2025-05-21,Technical,High,18.4,Resolved,3
T00472,C00472,2025-06-17,Billing,Medium,12.7,Resolved,4
T00473,C00473,2025-07-08,Storage,Low,5.5,Closed,5
T00474,C00474,2025-01-19,Performance,High,22.3,Resolved,3
T00475,C00475,2025-02-14,Account,Low,4.0,Closed,5
T00476,C00476,2025-03-28,Technical,Medium,13.1,Resolved,4
T00477,C00477,2025-04-07,Billing,High,19.2,Resolved,3
T00478,C00478,2025-05-31,Feature Request,Low,7.3,Closed,5
T00479,C00479,2025-06-12,Security,High,21.6,Resolved,3
T00480,C00480,2025-07-25,Storage,Medium,10.8,Resolved,4
T00481,C00481,2025-01-30,Technical,Urgent,32.9,Escalated,2
T00482,C00482,2025-02-09,Performance,High,24.4,Resolved,3
T00483,C00483,2025-03-16,Account,Medium,9.6,Resolved,4
T00484,C00484,2025-04-21,Billing,Low,4.5,Closed,5
T00485,C00485,2025-05-13,Storage,High,17.9,Resolved,3
T00486,C00486,2025-06-29,Technical,Medium,12.2,Resolved,4
T00487,C00487,2025-07-19,Feature Request,Low,6.7,Closed,5
T00488,C00488,2025-01-17,Security,High,18.6,Resolved,3
T00489,C00489,2025-02-26,Performance,Urgent,30.6,Escalated,2
T00490,C00490,2025-03-07,Account,Low,3.9,Closed,5
T00491,C00491,2025-04-12,Billing,Medium,10.3,Resolved,4
T00492,C00492,2025-05-29,Technical,High,21.7,Resolved,3
T00493,C00493,2025-06-05,Storage,Low,5.4,Closed,5
T00494,C00494,2025-07-14,Performance,High,23.0,Resolved,3
T00495,C00495,2025-01-24,Feature Request,Low,6.2,Closed,5
T00496,C00496,2025-02-16,Security,Medium,14.1,Resolved,4
T00497,C00497,2025-03-25,Account,High,17.8,Resolved,3
T00498,C00498,2025-04-26,Technical,Urgent,35.4,Escalated,2
T00499,C00499,2025-05-18,Billing,High,19.0,Resolved,3
T00500,C00500,2025-06-22,Performance,Medium,13.7,Resolved,4
