usage_id,customer_id,usage_date,login_count,session_minutes,files_uploaded,files_downloaded,storage_used_gb,feature_usage_count
U00437,C00437,S00437,2026-09-10,31,740,25,48,246.7,29
U00438,C00438,S00438,2026-09-10,41,1000,40,78,680.8,43
U00439,C00439,S00439,2026-09-10,7,130,3,8,21.6,5
U00440,C00440,S00440,2026-09-10,17,340,10,20,55.9,14
U00441,C00441,S00441,2026-09-10,22,460,15,29,84.5,19
U00442,C00442,S00442,2026-09-10,27,650,21,40,145.2,24
U00443,C00443,S00443,2026-09-10,8,150,4,9,25.1,6
U00444,C00444,S00444,2026-09-10,34,830,29,57,332.6,32
U00445,C00445,S00445,2026-09-10,4,75,1,4,12.2,3
U00446,C00446,S00446,2026-09-10,25,555,18,33,105.9,22
U00447,C00447,S00447,2026-09-10,30,725,24,46,233.7,28
U00448,C00448,S00448,2026-09-10,40,975,39,75,657.8,41
U00449,C00449,S00449,2026-09-10,6,120,2,7,18.3,5
U00450,C00450,S00450,2026-09-10,19,390,12,24,67.1,16
U00451,C00451,S00451,2026-09-10,20,425,13,25,74.6,17
U00452,C00452,S00452,2026-09-10,28,680,22,42,163.5,26
U00453,C00453,S00453,2026-09-10,9,170,5,12,35.4,8
U00454,C00454,S00454,2026-09-10,33,815,28,53,306.8,31
U00455,C00455,S00455,2026-09-10,5,85,2,5,15.9,4
U00456,C00456,S00456,2026-09-10,24,540,17,32,102.6,21
U00457,C00457,S00457,2026-09-10,31,735,25,48,251.3,29
U00458,C00458,S00458,2026-09-10,42,1020,41,80,725.7,44
U00459,C00459,S00459,2026-09-10,7,135,3,8,22.1,5
U00460,C00460,S00460,2026-09-10,18,360,10,21,59.8,14
U00461,C00461,S00461,2026-09-10,21,445,14,27,77.8,18
U00462,C00462,S00462,2026-09-10,27,640,21,39,139.8,24
U00463,C00463,S00463,2026-09-10,10,205,6,14,43.2,9
U00464,C00464,S00464,2026-09-10,34,835,30,58,338.4,32
U00465,C00465,S00465,2026-09-10,4,70,1,4,11.7,3
U00466,C00466,S00466,2026-09-10,25,570,18,34,113.7,22
U00467,C00467,S00467,2026-09-10,30,715,24,46,229.7,28
U00468,C00468,S00468,2026-09-10,41,995,40,79,691.5,43
U00469,C00469,S00469,2026-09-10,6,115,2,7,17.9,5
U00470,C00470,S00470,2026-09-10,19,380,12,23,66.4,16
U00471,C00471,S00471,2026-09-10,22,455,15,29,82.8,19
U00472,C00472,S00472,2026-09-10,28,670,22,42,157.6,26
U00473,C00473,S00473,2026-09-10,8,160,4,10,27.8,6
U00474,C00474,S00474,2026-09-10,35,850,31,60,359.1,34
U00475,C00475,S00475,2026-09-10,5,88,2,6,16.6,4
U00476,C00476,S00476,2026-09-10,23,520,16,31,95.7,20
U00477,C00477,S00477,2026-09-10,31,745,25,48,250.6,29
U00478,C00478,S00478,2026-09-10,40,985,39,76,665.4,42
U00479,C00479,S00479,2026-09-10,7,125,3,8,20.8,5
U00480,C00480,S00480,2026-09-10,18,350,10,21,58.6,14
U00481,C00481,S00481,2026-09-10,20,430,13,26,75.8,17
U00482,C00482,S00482,2026-09-10,27,655,21,40,144.7,24
U00483,C00483,S00483,2026-09-10,9,175,5,12,37.1,8
U00484,C00484,S00484,2026-09-10,34,820,29,57,328.1,32
U00485,C00485,S00485,2026-09-10,4,72,1,4,12.9,3
U00486,C00486,S00486,2026-09-10,24,535,17,32,98.9,21
U00487,C00487,S00487,2026-09-10,30,720,24,46,236.4,28
U00488,C00488,S00488,2026-09-10,42,1010,41,79,710.5,44
U00489,C00489,S00489,2026-09-10,6,118,2,7,18.6,5
U00490,C00490,S00490,2026-09-10,19,390,12,24,68.7,16
U00491,C00491,S00491,2026-09-10,21,445,14,27,80.2,18
U00492,C00492,S00492,2026-09-10,28,675,22,42,162.8,26
U00493,C00493,S00493,2026-09-10,8,155,4,9,26.6,6
U00494,C00494,S00494,2026-09-10,35,845,31,59,352.3,34
U00495,C00495,S00495,2026-09-10,5,86,2,5,15.5,4
U00496,C00496,S00496,2026-09-10,25,575,18,34,115.1,22
U00497,C00497,S00497,2026-09-10,31,750,25,49,252.4,29
U00498,C00498,S00498,2026-09-10,41,1005,40,79,700.6,43
U00499,C00499,S00499,2026-09-10,7,130,3,8,21.3,5
U00500,C00500,S00500,2026-09-10,18,365,11,22,62.5,15
