subscription_id,customer_id,plan_id,start_date,end_date,subscription_status,auto_renew,discount_pct
S00476,C00476,P005,2024-05-26,2025-02-16,Churned,No,0
S00477,C00477,P003,2024-06-15,,Active,Yes,5
S00478,C00478,P007,2024-07-21,,Active,Yes,0
S00479,C00479,P001,2024-08-29,,Active,Yes,10
S00480,C00480,P006,2024-09-17,2025-05-27,Churned,No,5
S00481,C00481,P002,2024-10-28,,Active,Yes,0
S00482,C00482,P005,2024-11-13,,Active,Yes,5
S00483,C00483,P003,2024-12-22,,Active,Yes,10
S00484,C00484,P008,2025-01-19,2025-08-28,Churned,No,0
S00485,C00485,P001,2025-02-27,,Active,Yes,5
S00486,C00486,P006,2025-03-13,,Active,Yes,0
S00487,C00487,P002,2025-04-25,,Active,Yes,10
S00488,C00488,P005,2023-02-11,2023-11-21,Churned,No,5
S00489,C00489,P003,2023-03-30,,Active,Yes,0
S00490,C00490,P007,2023-04-22,,Active,Yes,5
S00491,C00491,P001,2023-05-17,,Active,Yes,10
S00492,C00492,P006,2023-06-29,2024-03-15,Churned,No,0
S00493,C00493,P002,2023-07-18,,Active,Yes,5
S00494,C00494,P005,2023-08-26,,Active,Yes,0
S00495,C00495,P003,2023-09-21,,Active,Yes,10
S00496,C00496,P008,2023-10-13,2024-08-09,Churned,No,5
S00497,C00497,P001,2023-11-27,,Active,Yes,0
S00498,C00498,P006,2023-12-16,,Active,Yes,5
S00499,C00499,P002,2024-01-22,,Active,Yes,10
S00500,C00500,P005,2024-02-28,2025-01-14,Churned,No,0
